year,month,days,timestamp,fomc_binary
1990,February,6-7,1990-02-07,1
1990,March,27,1990-03-27,1
1990,April,11,1990-04-11,1
1990,May,15,1990-05-15,1
1990,July,2-3,1990-07-03,1
1990,August,21,1990-08-21,1
1990,September,7,1990-09-07,1
1990,September,17,1990-09-17,1
1990,October,2,1990-10-02,1
1990,November,13,1990-11-13,1
1990,December,7,1990-12-07,1
1990,December,18,1990-12-18,1
1991,January,9,1991-01-09,1
1991,February,1,1991-02-01,1
1991,February,5-6,1991-02-06,1
1991,March,26,1991-03-26,1
1991,April,12,1991-04-12,1
1991,April,30,1991-04-30,1
1991,May,1,1991-05-01,1
1991,May,14,1991-05-14,1
1991,June,10,1991-06-10,1
1991,June,24,1991-06-24,1
1991,July,2-3,1991-07-03,1
1991,August,5,1991-08-05,1
1991,August,20,1991-08-20,1
1991,September,13,1991-09-13,1
1991,October,1,1991-10-01,1
1991,October,30,1991-10-30,1
1991,November,5,1991-11-05,1
1991,December,2,1991-12-02,1
1991,December,17,1991-12-17,1
1992,January,9,1992-01-09,1
1992,February,4-5,1992-02-05,1
1992,March,11,1992-03-11,1
1992,March,31,1992-03-31,1
1992,May,19,1992-05-19,1
1992,June,30,1992-06-30,1
1992,July,2,1992-07-02,1
1992,August,18,1992-08-18,1
1992,October,6,1992-10-06,1
1992,November,17,1992-11-17,1
1992,December,14,1992-12-14,1
1992,December,22,1992-12-22,1
1993,January,6,1993-01-06,1
1993,February,2-3,1993-02-03,1
1993,February,18,1993-02-18,1
1993,March,1,1993-03-01,1
1993,March,23,1993-03-23,1
1993,May,18,1993-05-18,1
1993,July,6-7,1993-07-07,1
1993,August,17,1993-08-17,1
1993,September,21,1993-09-21,1
1993,October,5,1993-10-05,1
1993,October,15,1993-10-15,1
1993,October,22,1993-10-22,1
1993,November,9,1993-11-09,1
1993,November,10,1993-11-10,1
1993,November,16,1993-11-16,1
1993,December,21,1993-12-21,1
1994,February,3-4,1994-02-04,1
1994,February,28,1994-02-28,1
1994,March,22,1994-03-22,1
1994,March,24,1994-03-24,1
1994,April,18,1994-04-18,1
1994,May,17,1994-05-17,1
1994,July,5-6,1994-07-06,1
1994,July,20,1994-07-20,1
1994,August,16,1994-08-16,1
1994,September,27,1994-09-27,1
1994,November,15,1994-11-15,1
1994,December,20,1994-12-20,1
1994,December,30,1994-12-30,1
1995,January,13,1995-01-13,1
1995,January,31,1995-01-31,1
1995,March,10,1995-03-10,1
1995,March,28,1995-03-28,1
1995,April,28,1995-04-28,1
1995,May,23,1995-05-23,1
1995,July,5-6,1995-07-06,1
1995,August,22,1995-08-22,1
1995,September,26,1995-09-26,1
1995,November,15,1995-11-15,1
1995,December,19,1995-12-19,1
1996,January,30-31,1996-01-31,1
1996,March,26,1996-03-26,1
1996,May,21,1996-05-21,1
1996,July,2-3,1996-07-03,1
1996,August,20,1996-08-20,1
1996,September,24,1996-09-24,1
1996,November,13,1996-11-13,1
1996,December,17,1996-12-17,1
1997,February,4-5,1997-02-05,1
1997,March,25,1997-03-25,1
1997,May,20,1997-05-20,1
1997,July,1-2,1997-07-02,1
1997,August,19,1997-08-19,1
1997,September,30,1997-09-30,1
1997,November,12,1997-11-12,1
1997,December,16,1997-12-16,1
1998,February,3-4,1998-02-04,1
1998,March,31,1998-03-31,1
1998,May,19,1998-05-19,1
1998,June,30,1998-06-30,1
1998,August,18,1998-08-18,1
1998,September,21,1998-09-21,1
1998,September,29,1998-09-29,1
1998,October,15,1998-10-15,1
1998,November,17,1998-11-17,1
1998,December,22,1998-12-22,1
1999,February,2-3,1999-02-03,1
1999,March,30,1999-03-30,1
1999,May,18,1999-05-18,1
1999,June,29-30,1999-06-30,1
1999,August,24,1999-08-24,1
1999,October,5,1999-10-05,1
1999,November,16,1999-11-16,1
1999,December,21,1999-12-21,1
2000,February,1-2,2000-02-02,1
2000,March,21,2000-03-21,1
2000,May,16,2000-05-16,1
2000,June,27-28,2000-06-28,1
2000,August,22,2000-08-22,1
2000,October,3,2000-10-03,1
2000,November,15,2000-11-15,1
2000,December,19,2000-12-19,1
2001,January,3,2001-01-03,1
2001,January,30-31,2001-01-31,1
2001,March,20,2001-03-20,1
2001,April,11,2001-04-11,1
2001,April,18,2001-04-18,1
2001,May,15,2001-05-15,1
2001,June,26-27,2001-06-27,1
2001,August,21,2001-08-21,1
2001,September,13,2001-09-13,1
2001,September,17,2001-09-17,1
2001,October,2,2001-10-02,1
2001,November,6,2001-11-06,1
2001,December,11,2001-12-11,1
2002,January,29-30,2002-01-30,1
2002,March,19,2002-03-19,1
2002,May,7,2002-05-07,1
2002,June,25-26,2002-06-26,1
2002,August,13,2002-08-13,1
2002,September,24,2002-09-24,1
2002,November,6,2002-11-06,1
2002,December,10,2002-12-10,1
2003,January,28-29,2003-01-29,1
2003,March,18,2003-03-18,1
2003,March,25,2003-03-25,1
2003,April,1,2003-04-01,1
2003,April,8,2003-04-08,1
2003,April,16,2003-04-16,1
2003,May,6,2003-05-06,1
2003,June,24-25,2003-06-25,1
2003,August,12,2003-08-12,1
2003,September,15,2003-09-15,1
2003,September,16,2003-09-16,1
2003,October,28,2003-10-28,1
2003,December,9,2003-12-09,1
2004,January,27-28,2004-01-28,1
2004,March,16,2004-03-16,1
2004,May,4,2004-05-04,1
2004,June,29-30,2004-06-30,1
2004,August,10,2004-08-10,1
2004,September,21,2004-09-21,1
2004,November,10,2004-11-10,1
2004,December,14,2004-12-14,1
2005,February,1-2,2005-02-02,1
2005,March,22,2005-03-22,1
2005,May,3,2005-05-03,1
2005,June,29-30,2005-06-30,1
2005,August,9,2005-08-09,1
2005,September,20,2005-09-20,1
2005,November,1,2005-11-01,1
2005,December,13,2005-12-13,1
2006,January,31,2006-01-31,1
2006,March,27-28,2006-03-28,1
2006,May,10,2006-05-10,1
2006,June,28-29,2006-06-29,1
2006,August,8,2006-08-08,1
2006,September,20,2006-09-20,1
2006,October,24-25,2006-10-25,1
2006,December,12,2006-12-12,1
2007,January,30-31,2007-01-31,1
2007,March,20-21,2007-03-21,1
2007,May,9,2007-05-09,1
2007,June,27-28,2007-06-28,1
2007,August,7,2007-08-07,1
2007,August,10,2007-08-10,1
2007,August,16,2007-08-16,1
2007,September,18,2007-09-18,1
2007,October,30-31,2007-10-31,1
2007,December,6,2007-12-06,1
2007,December,11,2007-12-11,1
2008,January,9,2008-01-09,1
2008,January,21,2008-01-21,1
2008,January,29-30,2008-01-30,1
2008,March,10,2008-03-10,1
2008,March,18,2008-03-18,1
2008,April,29-30,2008-04-30,1
2008,June,24-25,2008-06-25,1
2008,July,24,2008-07-24,1
2008,August,5,2008-08-05,1
2008,September,16,2008-09-16,1
2008,September,29,2008-09-29,1
2008,October,7,2008-10-07,1
2008,October,28-29,2008-10-29,1
2008,December,15-16,2008-12-16,1
2009,January,16,2009-01-16,1
2009,January,27-28,2009-01-28,1
2009,February,7,2009-02-07,1
2009,March,17-18,2009-03-18,1
2009,April,28-29,2009-04-29,1
2009,June,3,2009-06-03,1
2009,June,23-24,2009-06-24,1
2009,August,11-12,2009-08-12,1
2009,September,22-23,2009-09-23,1
2009,November,3-4,2009-11-04,1
2009,December,15-16,2009-12-16,1
2010,January,26-27,2010-01-27,1
2010,March,16,2010-03-16,1
2010,April,27-28,2010-04-28,1
2010,May,9,2010-05-09,1
2010,June,22-23,2010-06-23,1
2010,August,10,2010-08-10,1
2010,September,21,2010-09-21,1
2010,October,15,2010-10-15,1
2010,November,2-3,2010-11-03,1
2010,December,14,2010-12-14,1
2011,January,25-26,2011-01-26,1
2011,March,15,2011-03-15,1
2011,April,26-27,2011-04-27,1
2011,June,21-22,2011-06-22,1
2011,August,1,2011-08-01,1
2011,August,9,2011-08-09,1
2011,September,20-21,2011-09-21,1
2011,November,1-2,2011-11-02,1
2011,November,28,2011-11-28,1
2011,December,13,2011-12-13,1
2012,January,24-25,2012-01-25,1
2012,March,13,2012-03-13,1
2012,April,24-25,2012-04-25,1
2012,June,19-20,2012-06-20,1
2012,July,31,2012-07-31,1
2012,September,12-13,2012-09-13,1
2012,October,23-24,2012-10-24,1
2012,December,11-12,2012-12-12,1
2013,January,29-30,2013-01-30,1
2013,March,19-20,2013-03-20,1
2013,April,30-1,2013-05-01,1
2013,June,18-19,2013-06-19,1
2013,July,30-31,2013-07-31,1
2013,September,17-18,2013-09-18,1
2013,October,16,2013-10-16,1
2013,October,29-30,2013-10-30,1
2013,December,17-18,2013-12-18,1
2014,January,28-29,2014-01-29,1
2014,March,4,2014-03-04,1
2014,March,18-19,2014-03-19,1
2014,April,29-30,2014-04-30,1
2014,June,17-18,2014-06-18,1
2014,July,29-30,2014-07-30,1
2014,September,16-17,2014-09-17,1
2014,October,28-29,2014-10-29,1
2014,December,16-17,2014-12-17,1
2015,January,27-28,2015-01-28,1
2015,March,17-18,2015-03-18,1
2015,April,28-29,2015-04-29,1
2015,June,16-17,2015-06-17,1
2015,July,28-29,2015-07-29,1
2015,September,16-17,2015-09-17,1
2015,October,27-28,2015-10-28,1
2015,December,15-16,2015-12-16,1
2016,January,26-27,2016-01-27,1
2016,March,15-16,2016-03-16,1
2016,April,26-27,2016-04-27,1
2016,June,14-15,2016-06-15,1
2016,July,26-27,2016-07-27,1
2016,September,20-21,2016-09-21,1
2016,November,1-2,2016-11-02,1
2016,December,13-14,2016-12-14,1
2017,,31-1,2017-02-01,1
2017,March,14-15,2017-03-15,1
2017,May,2-3,2017-05-03,1
2017,June,13-14,2017-06-14,1
2017,July,25-26,2017-07-26,1
2017,September,19-20,2017-09-20,1
2017,,31-1,2017-11-01,1
2017,December,12-13,2017-12-13,1
2018,January,30-31,2018-01-31,1
2018,March,20-21,2018-03-21,1
2018,May,1-2,2018-05-02,1
2018,June,12-13,2018-06-13,1
2018,,31-1,2018-08-01,1
2018,September,25-26,2018-09-26,1
2018,November,7-8,2018-11-08,1
2018,December,18-19,2018-12-19,1
2019,January,29-30,2019-01-30,1
2019,March,19-20*,2019-03-20,1
2019,April/May,30-1,2019-05-01,1
2019,June,18-19*,2019-06-19,1
2019,July,30-31,2019-07-31,1
2019,September,17-18*,2019-09-18,1
2019,October,4 (unscheduled),2019-10-04,1
2019,October,29-30,2019-10-30,1
2019,December,10-11*,2019-12-11,1
2020,January,28-29,2020-01-29,1
2020,March,3 (unscheduled),2020-03-03,1
2020,March,15 (unscheduled),2020-03-15,1
2020,March,19 (notation vote),2020-03-19,1
2020,March,23 (notation vote),2020-03-23,1
2020,March,31 (notation vote),2020-03-31,1
2020,April,28-29,2020-04-29,1
2020,June,9-10*,2020-06-10,1
2020,July,28-29,2020-07-29,1
2020,August,27 (notation vote),2020-08-27,1
2020,September,15-16*,2020-09-16,1
2020,November,4-5,2020-11-05,1
2020,December,15-16*,2020-12-16,1
2021,January,26-27,2021-01-27,1
2021,March,16-17*,2021-03-17,1
2021,April,27-28,2021-04-28,1
2021,June,15-16*,2021-06-16,1
2021,July,27-28,2021-07-28,1
2021,September,21-22*,2021-09-22,1
2021,November,2-3,2021-11-03,1
2021,December,14-15*,2021-12-15,1
2022,January,25-26,2022-01-26,1
2022,March,15-16*,2022-03-16,1
2022,May,3-4,2022-05-04,1
2022,June,14-15*,2022-06-15,1
2022,July,26-27,2022-07-27,1
2022,September,20-21*,2022-09-21,1
2022,November,1-2,2022-11-02,1
2022,December,13-14*,2022-12-14,1
2023,Jan/Feb,31-1,2023-02-01,1
2023,March,21-22*,2023-03-22,1
2023,May,2-3,2023-05-03,1
2023,June,13-14*,2023-06-14,1
2023,July,25-26,2023-07-26,1
2023,September,19-20*,2023-09-20,1
2023,Oct/Nov,31-1,2023-11-01,1
2023,December,12-13*,2023-12-13,1
2024,January,30-31,2024-01-31,1
2024,March,19-20*,2024-03-20,1
2024,Apr/May,30-1,2024-05-01,1
2024,June,11-12*,2024-06-12,1
2024,July,30-31,2024-07-31,1
2024,September,17-18*,2024-09-18,1
2024,November,6-7,2024-11-07,1
2024,December,17-18*,2024-12-18,1
